xi,half_life_days,prior_sd,n,log_loss,rps,accuracy
0.002,346.5735902799726,0.6,1520,0.9609752418522158,0.1979249926643378,0.5447368421052632
0.002,346.5735902799726,0.5,1520,0.960986390094938,0.1979322247915483,0.5421052631578948
0.0025,277.25887222397813,0.6,1520,0.961183052213728,0.1979177343407901,0.5440789473684211
0.0025,277.25887222397813,0.5,1520,0.9612005939253532,0.1979372540191313,0.5447368421052632
0.0015,462.09812037329687,0.5,1520,0.961281802205228,0.1980955498094276,0.5453947368421053
0.002,346.5735902799726,0.8,1520,0.96128688004165,0.1980171709256419,0.5460526315789473
0.0015,462.09812037329687,0.6,1520,0.9612919327903986,0.1981050449918779,0.5460526315789473
0.002,346.5735902799726,0.4,1520,0.9613973532781896,0.1980672992053948,0.5421052631578948
0.0025,277.25887222397813,0.8,1520,0.9615214276237724,0.1980043414986794,0.5447368421052632
0.0015,462.09812037329687,0.8,1520,0.9615975682787816,0.1982086917466148,0.5460526315789473
0.0015,462.09812037329687,0.4,1520,0.9616035291112708,0.1981899440330094,0.5460526315789473
0.002,346.5735902799726,1.0,1520,0.9616851566578924,0.1981301169199594,0.5453947368421053
0.0025,277.25887222397813,0.4,1520,0.9616862539070388,0.1981077532447763,0.5453947368421053
0.003,231.04906018664843,0.6,1520,0.961750291393288,0.1980322277694655,0.5460526315789473
0.003,231.04906018664843,0.5,1520,0.9617622915408884,0.1980600200655781,0.5473684210526316
0.0025,277.25887222397813,1.0,1520,0.9619458206521564,0.1981172847871528,0.5434210526315789
0.0015,462.09812037329687,1.0,1520,0.9619821565819626,0.1983251198961839,0.5460526315789473
0.003,231.04906018664843,0.8,1520,0.9621351245633032,0.1981187328066601,0.5460526315789473
0.003,231.04906018664843,0.4,1520,0.9623141260650692,0.1982617132258647,0.5453947368421053
0.001,693.1471805599452,0.6,1520,0.9623580884494204,0.1985208504231911,0.5467105263157894
0.001,693.1471805599452,0.4,1520,0.9625268919955552,0.1985412026120555,0.5480263157894737
0.002,346.5735902799726,1.5,1520,0.9625590866870536,0.1983455682239263,0.5447368421052632
0.003,231.04906018664843,1.0,1520,0.9625961933377812,0.1982343026312815,0.5453947368421053
0.0015,462.09812037329687,1.5,1520,0.9628340703929086,0.1985432878697598,0.5453947368421053
0.0025,277.25887222397813,1.5,1520,0.9628542192157108,0.1983338477432369,0.5460526315789473
0.0015,462.09812037329687,0.3,1520,0.9629895044319438,0.1986136516671674,0.5434210526315789
0.002,346.5735902799726,0.3,1520,0.9631054924764884,0.1986048439166073,0.5407894736842105
0.003,231.04906018664843,1.5,1520,0.9635485628027344,0.1984543070723358,0.5447368421052632
0.004,173.2867951399863,0.6,1520,0.9635532638560524,0.1984898232737915,0.5460526315789473
0.001,693.1471805599452,0.3,1520,0.96358247777138,0.1988484505853391,0.5427631578947368
0.0025,277.25887222397813,0.3,1520,0.9637128460088178,0.1987550286965355,0.5414473684210527
0.002,346.5735902799726,3.0,1520,0.9641286121126192,0.1986109490275553,0.5440789473684211
0.004,173.2867951399863,0.4,1520,0.9642145057374704,0.1987854747135976,0.5434210526315789
0.0015,462.09812037329687,3.0,1520,0.9643878195950693,0.1988111995383168,0.5440789473684211
0.0005,1386.2943611198905,0.6,1520,0.9644240888051618,0.1992333575295453,0.5434210526315789
0.0005,1386.2943611198905,0.4,1520,0.9644275179171712,0.199188909222921,0.5434210526315789
0.0025,277.25887222397813,3.0,1520,0.9644461801854312,0.1985990645857225,0.5434210526315789
0.003,231.04906018664843,0.3,1520,0.964661911677038,0.1990160759648762,0.5421052631578948
0.0015,462.09812037329687,0.25,1520,0.9648226599602407,0.1991765779278675,0.5434210526315789
0.001,693.1471805599452,0.25,1520,0.9650125257254016,0.1992795935584299,0.5434210526315789
0.0005,1386.2943611198905,0.3,1520,0.9651546404053094,0.1993846513723284,0.5394736842105263
0.003,231.04906018664843,3.0,1520,0.9651659885607522,0.1987203680941168,0.5447368421052632
