team,attack,defence
Man City,1.5786253222228543,0.646891520384896
Liverpool,1.4679834400063834,0.839905529734527
Arsenal,1.4359638112679258,0.5591987186529304
Newcastle,1.2461419217548864,0.9253701318211115
Man United,1.2225710994393104,0.8813575031051265
Chelsea,1.2054807827615135,0.8794802211648393
Aston Villa,1.1858761778090323,0.8846157992017979
Brentford,1.1726017816433716,0.9343541221994016
Bournemouth,1.1370959757288976,0.9204969898526572
Tottenham,1.1315741925595857,1.0342549001117076
Brighton,1.1297837266421216,0.891599983224282
Nott'm Forest,1.0494570548362898,0.8928760110877448
Leeds,1.020570906667528,0.9891674925245912
Fulham,1.000412828647799,0.9016380206343181
West Ham,0.9911405086933507,1.071519536270967
Crystal Palace,0.9491765329083118,0.9062504841252204
Everton,0.9063562593495023,0.8471224635730906
Sunderland,0.8903724125549145,0.8417748533489992
Burnley,0.8027549557811282,1.234849054672878
Wolves,0.7728176585243566,1.0957394645741168
