bin_low,bin_high,n,predicted,observed
0.0,0.1,242,0.07170984050596817,0.08264462809917356
0.1,0.2,1141,0.16032078626121168,0.1481156879929886
0.2,0.30000000000000004,3098,0.2500628754367892,0.2591994835377663
0.30000000000000004,0.4,1233,0.3470235193647732,0.33657745336577455
0.4,0.5,925,0.4502535977159045,0.44432432432432434
0.5,0.6000000000000001,632,0.5469673863718367,0.5379746835443038
0.6000000000000001,0.7000000000000001,423,0.6470096881500954,0.6572104018912529
0.7000000000000001,0.8,207,0.7471915813862535,0.7584541062801933
0.8,0.9,72,0.8363402042716722,0.8333333333333334
0.9,1.0,7,0.915313968193883,1.0
